id	symbol	category	scope	definition	first_section	link_status
commodity-count	$L$	Sets and indices	Book-wide	Number of commodities; $L\in\mathbb N_{>0}$.	Notation and Conventions	linked
commodity-index	$\ell,k$	Sets and indices	Book-wide	Commodity-coordinate indices in $\{1,\ldots,L\}$.	Notation and Conventions	linked
nonnegative-orthant	$\mathbb R_+^n$	Sets and indices	Book-wide	Vectors in $\mathbb R^n$ whose coordinates are all nonnegative.	Notation and Conventions	linked
positive-orthant	$\mathbb R_{++}^n$	Sets and indices	Book-wide	Vectors in $\mathbb R^n$ whose coordinates are all strictly positive; equivalently $x\gg0$.	Notation and Conventions	linked
feasible-set	$X$	Sets and indices	Scoped	Ambient feasible set; in consumer chapters, the consumption set, normally $\mathbb R_+^L$.	Notation and Conventions	linked
consumer-index	$i=1,\ldots,I$	Sets and indices	Book-wide	Consumer index and number of consumers.	Notation and Conventions	linked
firm-index	$j=1,\ldots,J$	Sets and indices	Book-wide	Firm index and number of firms.	Notation and Conventions	linked
bundle	$x$	Consumer theory	Book-wide default	Consumption bundle; arguments such as $x(p,w)$ distinguish demand from a generic bundle.	Notation and Conventions	linked
production-plan	$y$	Firm theory	Book-wide default	Net-output vector, with positive coordinates denoting outputs and negative coordinates inputs.	Notation and Conventions	linked
endowment	$\omega$	Equilibrium	Book-wide default	Endowment vector; subscripts identify agents and superscripts identify observations or states when declared.	Notation and Conventions	linked
price-vector	$p$	Consumer theory	Book-wide default	Commodity-price column vector; normally $p\in\mathbb R_{++}^L$.	Notation and Conventions	linked
wealth	$w$	Consumer theory	Book-wide default	Scalar wealth or income available to a consumer.	Notation and Conventions	linked
utility-weights	$a_\ell$	Consumer theory	Workhorse demand models	Strictly positive taste weights normalized to sum to one; equal expenditure shares only in the Cobb-Douglas case.	Homotheticity and Cobb-Douglas Demand	linked
expenditure-shares	$b_\ell(p,w),\boldsymbol b$	Consumer theory	Workhorse demand models	Expenditure share $p_\ell x_\ell(p,w)/w$ and its column vector; independent of wealth in the homothetic models considered here.	Homotheticity and Cobb-Douglas Demand	linked
ces-curvature	$\rho$	Consumer theory	CES consumer model	CES power parameter with $\rho<1$ and Cobb-Douglas limit at zero; some production parameterizations use a different sign convention.	CES: A Family of Substitution Patterns	linked
substitution-elasticity	$\sigma$	Consumer theory	CES consumer model	Constant substitution elasticity $1/(1-\rho)>0$; distinguished from Marshallian own-price elasticity.	CES: A Family of Substitution Patterns	linked
subsistence-bundle	$\gamma$	Consumer theory	Stone-Geary model	Nonnegative subsistence bundle; discretionary wealth is $w-p\cdot\gamma$.	Subsistence and Stone-Geary Demand	linked
unit-expenditure-index	$\mathcal P(p)$	Consumer theory	Workhorse dual models	Unit expenditure $e(p,1)$ under the specified degree-one utility normalization; subscript TL denotes the translog index.	CES Expenditure, Compensation, and Substitution	linked
translog-curvature	$\Gamma$	Consumer theory	Translog expenditure model	Symmetric matrix $(\gamma_{\ell k})$ of log-price quadratic coefficients, with zero row sums; distinct from the Stone-Geary vector $\gamma$.	A Homothetic Translog Expenditure Model	linked
budget-set	$B(p,w)$	Consumer theory	Book-wide	Bundles affordable at prices $p$ and wealth $w$: $\{x\in X:p\cdot x\leq w\}$.	Notation and Conventions	linked
marshallian-demand	$x(p,w)$	Consumer theory	Book-wide	Marshallian demand correspondence; treated as a function only when uniqueness is assumed.	Notation and Conventions	linked
hicksian-demand	$h(p,\bar u)$	Consumer theory	Book-wide	Expenditure-minimizing demand correspondence at prices $p$ and target utility $\bar u$.	Notation and Conventions	linked
direct-utility	$u$	Consumer theory	Book-wide default	Direct utility; in uncertainty chapters it is the Bernoulli utility of a prize.	Notation and Conventions	linked
indirect-utility	$v(p,w)$	Consumer theory	Book-wide	Maximum attainable utility at prices $p$ and wealth $w$.	Notation and Conventions	linked
expenditure-function	$e(p,\bar u)$	Consumer theory	Book-wide	Minimum expenditure required to attain utility $\bar u$ at prices $p$.	Notation and Conventions	linked
money-metric-utility	$\mu_p(x)$	Consumer theory	Welfare-analysis sections	Expenditure at reference prices $p$ required to attain the utility of bundle $x$: $e(p,u(x))$.	Upper Bounds for Welfare Analysis	linked
inner-product	$a\cdot b$	Operators	Book-wide	Euclidean inner product.	Notation and Conventions	linked
euclidean-norm	$\lVert a\rVert_2$	Operators	Book-wide	Euclidean norm of a vector $a$.	Notation and Conventions	linked
ones-vector	$\mathbf 1_n$	Operators	Book-wide	All-ones column vector in $\mathbb R^n$; the dimension is shown whenever it is not immediate.	Notation and Conventions	linked
identity-matrix	$I_n$	Operators	Book-wide	$n\times n$ identity matrix; the subscript records its dimension.	Perceived Prices and Limited Attention	linked
transpose	$a^\top$	Operators	Book-wide	Transpose of a vector or matrix; primes never denote transpose.	Notation and Conventions	linked
alternative-prime	$a'$	Operators	Book-wide	Alternative observation or object of the same type as $a$.	Notation and Conventions	linked
set-difference	$A\setminus B$	Operators	Book-wide	Elements of $A$ that do not belong to $B$.	Notation and Conventions	linked
preference-relations	$\succeq,\succ,\sim$	Choice and preference	Book-wide	Weak preference and its asymmetric and symmetric parts.	Notation and Conventions	linked
choice-correspondence	$c:\mathcal A\rightrightarrows X$	Choice and preference	Book-wide	Nonempty-valued choice correspondence on a family of feasible menus.	Notation and Conventions	linked
