symbol	first_line	chapter	section	defined_before_use	status	scope_or_conflict	canonical_definition	anchor
Z	6154	Choice under Uncertainty	Primitives	yes	overload	Begins as a finite monetary-prize subset of R; becomes a compact metric prize space at 6677 and a risky gross return at 6898.	Finite ordered prize set Z subseteq R in the finite model; use mathcal Z for a general prize space and tilde R for a random return.	prize-space
p	6155	Choice under Uncertainty	Primitives	yes	overload	A lottery PMF here; later a probability measure, state-price vector, commodity-price vector, and both vector and scalar firm price.	Lottery p in Delta(Z), with domain made explicit whenever scope changes.	lottery-p
Delta(Z)	6158	Choice under Uncertainty	Primitives	yes	overload	Finite lottery simplex here; shorthand for Borel probability measures after 6777.	Set of lotteries on Z, typed as Delta(Z) for finite Z and Delta(Z,Sigma) for a measurable space.	lottery-space
delta_z	6159	Choice under Uncertainty	Primitives	yes	ok	Degenerate-lottery notation remains stable.	Dirac or degenerate lottery assigning probability one to prize z.	degenerate-lottery
q	6168	Choice under Uncertainty	Primitives	no	overload	Introduced as the second lottery without a quantifier; later normalized prices at 8244 and output at 9071.	Second lottery q in Delta(Z); reserve q for physical output after the uncertainty chapter.	lottery-q
alpha p+(1-alpha)q	6168	Choice under Uncertainty	Primitives	yes	overload	The mixing weight alpha is local here but alpha is later a portfolio holding, wealth share, price coefficient, and production exponent.	Pointwise mixture of lotteries p and q with mixing weight alpha in [0,1].	lottery-mixture
u	6175	Choice under Uncertainty	Primitives	yes	overload	Bernoulli utility is reused consistently in uncertainty, but bold u later denotes a random Bernoulli utility.	Bernoulli utility index over prizes or monetary outcomes.	bernoulli-utility
U	6177	Choice under Uncertainty	Primitives	yes	overload	Expected-utility functional here; U* and bold U denote latent or random utilities in discrete choice.	Expected-utility functional U(p)=sum_z u(z)p(z), or the corresponding integral.	expected-utility
F_p	6188	Choice under Uncertainty	Stochastic dominance on a finite prize set	yes	ok	Later standalone F denotes a return distribution, a generic CDF, and a production transformation function.	Cumulative distribution function of lottery p.	lottery-cdf
succeq^{FOSD}	6191	Choice under Uncertainty	Stochastic dominance on a finite prize set	yes	forward	Defined correctly for finite lotteries here, but the distribution-level version is used at 7039 before it is defined at 7047.	First-order stochastic-dominance relation: the dominating lottery has a weakly lower CDF everywhere.	fosd
