threshold,share
0.000000,1.000000
0.611823,1.000000
0.653768,0.989760
0.685477,0.978852
0.691938,0.967944
0.696766,0.957037
0.704298,0.946819
0.738166,0.935911
0.756444,0.925003
0.801075,0.914096
0.816121,0.903878
0.839244,0.892970
0.839789,0.882062
0.847847,0.871154
0.853220,0.860247
0.865598,0.850029
0.869900,0.839121
0.875272,0.828213
0.891934,0.817306
0.904295,0.807088
0.912371,0.796180
0.915602,0.785272
0.916673,0.774364
0.917199,0.763457
0.929577,0.753239
0.929577,0.742331
0.938180,0.731423
0.940867,0.720516
0.943009,0.710276
0.943553,0.699368
0.946783,0.688482
0.947310,0.677574
0.948925,0.666667
0.951612,0.656427
0.953771,0.645519
0.954842,0.634611
0.957529,0.623703
0.958600,0.613486
0.959671,0.602578
0.962901,0.591670
0.965587,0.580762
0.966132,0.570544
0.966132,0.559637
0.969362,0.537821
0.969889,0.526913
0.972049,0.516696
0.972049,0.505788
0.973664,0.494880
0.976877,0.483972
0.976877,0.473755
0.979036,0.462847
0.981178,0.451939
0.981723,0.430123
0.981723,0.419906
0.983865,0.398090
0.984409,0.387182
0.985480,0.376942
0.986024,0.366034
0.986569,0.355149
0.987095,0.344241
0.987095,0.312186
0.988711,0.301278
0.989255,0.290370
0.990326,0.280152
0.990326,0.269244
0.990870,0.258337
0.992468,0.247429
0.995172,0.237211
0.996769,0.226303
0.997858,0.204488
0.999456,0.193580
0.999456,0.183362
1.000000,0.172454
