threshold,share
0.000000,1.000000
0.187636,1.000000
0.188163,0.999310
0.215587,0.999310
0.216658,0.998620
0.226877,0.998620
0.227421,0.997952
0.237095,0.997952
0.238711,0.997262
0.246769,0.997262
0.246769,0.996572
0.252686,0.996572
0.253757,0.995904
0.256988,0.995904
0.257532,0.995214
0.258059,0.995214
0.263431,0.995214
0.264520,0.994546
0.265047,0.994546
0.267733,0.994546
0.268822,0.993856
0.272579,0.993856
0.273123,0.993166
0.279022,0.993166
0.279567,0.992498
0.282797,0.992498
0.283324,0.991808
0.288170,0.991808
0.288714,0.991140
0.292471,0.991140
0.293542,0.990450
0.294087,0.990450
0.296229,0.990450
0.297317,0.989760
0.297844,0.989760
0.298915,0.989760
0.299459,0.989092
0.301075,0.989092
0.301619,0.988402
0.303761,0.988402
0.304832,0.987712
0.305376,0.987712
0.305920,0.987712
0.306447,0.987044
0.308062,0.987044
0.308607,0.986354
0.311293,0.986354
0.311820,0.985686
0.313435,0.985686
0.313979,0.984996
0.315050,0.984996
0.315594,0.984306
0.316665,0.984306
0.317210,0.983638
0.318281,0.983638
0.318808,0.982948
0.321511,0.982948
0.322038,0.982258
0.324198,0.982258
0.324724,0.981590
0.325269,0.981590
0.325813,0.980900
0.327411,0.980900
0.327955,0.980210
0.329570,0.980210
0.330114,0.979542
0.330641,0.979542
0.331185,0.978852
0.332256,0.978852
0.332801,0.978184
0.334398,0.978184
0.334943,0.977494
0.335487,0.977494
0.336014,0.976804
0.337102,0.976804
0.337629,0.976136
0.338700,0.976136
0.339244,0.975446
0.340315,0.975446
0.340860,0.974779
0.342475,0.974779
0.343002,0.974088
0.344090,0.974088
0.344617,0.973398
0.345161,0.973398
0.345705,0.972731
0.346232,0.972731
0.346776,0.972040
0.347847,0.972040
0.348392,0.971350
0.348918,0.971350
0.349463,0.970683
0.351078,0.970683
0.351605,0.969992
0.352149,0.969992
0.352693,0.969325
0.353220,0.969325
0.353764,0.968635
0.354291,0.968635
0.354835,0.967944
0.355906,0.967944
0.356451,0.967277
0.356995,0.967277
0.357522,0.966587
0.358066,0.966587
0.358593,0.965919
0.359137,0.965919
0.359681,0.965229
0.360752,0.965229
0.361296,0.964539
0.362367,0.964539
0.362894,0.963871
0.363438,0.963871
0.363983,0.963181
0.364509,0.963181
0.365054,0.962491
0.365598,0.962491
0.366669,0.961133
0.367196,0.961133
0.367740,0.960465
0.368284,0.960465
0.368811,0.959775
0.369355,0.959775
0.369900,0.959085
0.370426,0.959085
0.370971,0.958417
0.371497,0.958417
0.372042,0.957727
0.372586,0.957727
0.373113,0.957037
0.373657,0.957037
0.374184,0.956369
0.374728,0.956369
0.375272,0.955679
0.376343,0.955679
0.376887,0.955011
0.377414,0.955011
0.377958,0.954321
0.378485,0.953631
0.379029,0.953631
0.379574,0.952963
0.380100,0.952963
0.380645,0.952273
0.381189,0.952273
0.381716,0.951583
0.382787,0.951583
0.383331,0.950915
0.383875,0.950915
0.384402,0.950225
0.384946,0.949535
0.385491,0.949535
0.386017,0.948867
0.386562,0.948867
0.387088,0.948177
0.387633,0.947509
0.388177,0.947509
0.388704,0.946819
0.389248,0.946129
0.389792,0.945461
0.390319,0.945461
0.390863,0.944771
0.391390,0.944771
0.391934,0.944103
0.392478,0.943413
0.393005,0.942723
0.393549,0.942055
0.394094,0.942055
0.394620,0.941365
0.395165,0.941365
0.396236,0.940007
0.396780,0.940007
0.397307,0.939317
0.397851,0.938649
0.398378,0.938649
0.398922,0.937959
0.399466,0.937959
0.399993,0.937269
0.400537,0.937269
0.401082,0.936601
0.401608,0.935911
0.402153,0.935911
0.404295,0.933195
0.404839,0.933195
0.405383,0.932505
0.405910,0.931815
0.406454,0.931147
0.406981,0.930457
0.407525,0.929789
0.408069,0.929789
0.408596,0.929099
0.409140,0.928409
0.409685,0.928409
0.410756,0.927051
0.411282,0.926361
0.411827,0.925693
0.412371,0.925693
0.412898,0.925003
0.413442,0.924336
0.413986,0.923645
0.414513,0.922955
0.415057,0.922955
0.416128,0.921597
0.416673,0.921597
0.417199,0.920907
0.417744,0.920907
0.418815,0.919549
0.419359,0.918882
0.419886,0.918192
0.420430,0.918192
0.422045,0.916144
0.422572,0.916144
0.423116,0.915453
0.423660,0.914786
0.424187,0.914096
0.424731,0.913428
0.425276,0.912738
0.425802,0.912048
0.426347,0.912048
0.427418,0.910690
0.427962,0.910022
0.428489,0.909332
0.429033,0.909332
0.430648,0.907284
0.431175,0.906594
0.431719,0.905926
0.432264,0.905926
0.432790,0.905236
0.433335,0.904568
0.433879,0.903878
0.434406,0.903188
0.434950,0.902520
0.435477,0.902520
0.437092,0.899782
0.437636,0.899782
0.441393,0.895018
0.441393,0.894328
0.441938,0.893660
0.443009,0.892280
0.443009,0.891612
0.443553,0.890922
0.444080,0.890922
0.444624,0.890254
0.446239,0.888206
0.446239,0.887516
0.446766,0.886826
0.447310,0.886158
0.448381,0.884778
0.448381,0.884110
0.448925,0.883420
0.449470,0.882752
0.449996,0.882062
0.451612,0.880014
0.452156,0.879346
0.452683,0.878656
0.453227,0.877966
0.453771,0.877298
0.454298,0.876608
0.454842,0.875250
0.455369,0.875250
0.455913,0.874560
0.456458,0.873893
0.456984,0.873202
0.460215,0.869106
0.460215,0.868439
0.461830,0.866391
0.461830,0.865701
0.463445,0.863653
0.463445,0.862985
0.463972,0.862295
0.464516,0.861605
0.465061,0.860937
0.465587,0.860247
0.466132,0.859579
0.467203,0.858199
0.467203,0.857531
0.467747,0.856841
0.468274,0.856151
0.469362,0.854793
0.469362,0.854103
0.471504,0.851387
0.471504,0.850697
0.472049,0.850029
0.472575,0.849339
0.473120,0.848671
0.474191,0.847291
0.474191,0.846623
0.474735,0.845933
0.475262,0.845243
0.475806,0.844575
0.476877,0.843217
0.477948,0.841837
0.477948,0.841169
0.479563,0.839121
0.479563,0.837763
0.482249,0.834357
0.482249,0.833667
0.483338,0.832309
0.483338,0.831619
0.483865,0.830929
0.484409,0.830261
0.485480,0.828903
0.485480,0.828213
0.486551,0.826855
0.486551,0.826165
0.487640,0.824807
0.487640,0.824117
0.488166,0.823427
0.488711,0.822759
0.489782,0.821402
0.489782,0.820711
0.490853,0.819354
0.490853,0.818663
0.491941,0.817306
0.491941,0.816615
0.492468,0.815948
0.493556,0.814590
0.493556,0.813210
0.494083,0.812542
0.495154,0.811162
0.495154,0.810494
0.496243,0.809136
0.496243,0.808446
0.496769,0.807756
0.497314,0.807088
0.497840,0.806398
0.497840,0.805040
0.499456,0.802992
0.499456,0.802302
0.500544,0.800944
0.500544,0.799586
0.501615,0.798228
0.501615,0.797538
0.502686,0.796180
0.502686,0.795490
0.503757,0.794132
0.503757,0.792752
0.504846,0.791394
0.504846,0.790036
0.505373,0.789368
0.506444,0.787988
0.506444,0.787320
0.507532,0.785940
0.507532,0.785272
0.508603,0.783914
0.508603,0.782534
0.509674,0.781176
0.509674,0.780486
0.510218,0.779818
0.511289,0.778460
0.511289,0.777770
0.512905,0.775722
0.512905,0.774364
0.513976,0.773007
0.513976,0.772316
0.515047,0.770959
0.515047,0.769578
0.516135,0.768220
0.516135,0.766863
0.517206,0.765505
0.517206,0.764815
0.518277,0.763457
0.518277,0.762099
0.519348,0.760719
0.519348,0.760051
0.519893,0.759361
0.519893,0.758693
0.520964,0.757313
0.520964,0.755955
0.521508,0.755265
0.521508,0.753907
0.522579,0.752549
0.522579,0.751859
0.523123,0.751191
0.523123,0.750501
0.524194,0.749143
0.524194,0.748453
0.525265,0.747095
0.525265,0.745737
0.526336,0.744357
0.526336,0.743689
0.527425,0.742331
0.527425,0.740951
0.527951,0.740283
0.529040,0.738925
0.529040,0.737545
0.530111,0.736187
0.530111,0.735497
0.531182,0.734139
0.531182,0.732781
0.532253,0.731423
0.532253,0.730043
0.533342,0.728685
0.533342,0.727327
0.534413,0.725969
0.534413,0.724589
0.534939,0.723921
0.536028,0.722564
0.536028,0.721183
0.537099,0.719825
0.537099,0.718468
0.537626,0.717777
0.537626,0.716420
0.538170,0.715729
0.538714,0.715062
0.538714,0.713704
0.539785,0.712324
0.539785,0.710966
0.540856,0.709608
0.540856,0.708250
0.541927,0.706870
0.541927,0.705512
0.543016,0.704154
0.543016,0.702106
0.544087,0.700748
0.544087,0.699368
0.545158,0.698010
0.545158,0.696652
0.546229,0.695294
0.546229,0.693914
0.547317,0.692556
0.547317,0.690508
0.548388,0.689150
0.548388,0.687792
0.549459,0.686434
0.549459,0.685054
0.550004,0.684386
0.550530,0.683696
0.550530,0.682338
0.551619,0.680980
0.551619,0.679600
0.552146,0.678932
0.552146,0.677574
0.553234,0.676194
0.553234,0.674146
0.554832,0.672121
0.554832,0.670740
0.555920,0.669382
0.555920,0.668692
0.556991,0.667334
0.556991,0.665977
0.558062,0.664619
0.558062,0.663261
0.559133,0.661881
0.559133,0.660523
0.560222,0.659165
0.560222,0.657807
0.561293,0.656427
0.561293,0.654379
0.562364,0.653021
0.562364,0.651663
0.563435,0.650305
0.563435,0.648257
0.564523,0.646899
0.564523,0.645519
0.565050,0.644851
0.565050,0.644161
0.565594,0.643471
0.565594,0.642113
0.566665,0.640755
0.566665,0.639397
0.567210,0.638707
0.567210,0.638039
0.567736,0.637349
0.567736,0.635991
0.568825,0.634611
0.568825,0.633253
0.569352,0.632585
0.569352,0.631205
0.569896,0.630537
0.569896,0.629157
0.570967,0.627799
0.570967,0.626441
0.571511,0.625751
0.571511,0.624393
0.572582,0.623035
0.572582,0.621678
0.573127,0.620987
0.573127,0.619630
0.574198,0.618249
0.574198,0.616892
0.575269,0.615534
0.575269,0.614176
0.575813,0.613486
0.575813,0.612818
0.576340,0.612128
0.576340,0.610770
0.576884,0.610080
0.576884,0.608722
0.577955,0.607364
0.577955,0.605984
0.579026,0.604626
0.579026,0.603268
0.580114,0.601910
0.580114,0.600530
0.581185,0.599172
0.581185,0.597124
0.582256,0.595766
0.582256,0.593718
0.582801,0.593028
0.582801,0.591670
0.583872,0.590312
0.583872,0.588954
0.584416,0.588264
0.584416,0.587596
0.585487,0.586216
0.585487,0.584168
0.586558,0.582810
0.586558,0.581452
0.587102,0.580762
0.587102,0.579404
0.588173,0.578046
0.588173,0.576688
0.589244,0.575308
0.589244,0.573260
0.590315,0.571902
0.590315,0.571235
0.590860,0.570544
0.590860,0.569187
0.591404,0.568497
0.591404,0.567139
0.592475,0.565781
0.592475,0.564401
0.593019,0.563733
0.593019,0.562375
0.594090,0.560995
0.594090,0.559637
0.595161,0.558279
0.595161,0.556921
0.596232,0.555541
0.596232,0.553493
0.597303,0.552135
0.597303,0.550087
0.597847,0.549419
0.597847,0.548039
0.598918,0.546681
0.598918,0.545323
0.599463,0.544633
0.599463,0.543275
0.600534,0.541917
0.600534,0.539179
0.601605,0.537821
0.601605,0.536463
0.602149,0.535773
0.602149,0.534415
0.603220,0.533057
0.603220,0.531699
0.603764,0.531009
0.603764,0.530319
0.604309,0.529651
0.604309,0.528271
0.604835,0.527603
0.604835,0.526913
0.605380,0.526245
0.605380,0.524865
0.606451,0.523507
0.606451,0.521459
0.607522,0.520102
0.607522,0.518054
0.608610,0.516696
0.608610,0.515338
0.609681,0.513958
0.609681,0.511932
0.610752,0.510552
0.610752,0.507836
0.611823,0.506478
0.611823,0.505788
0.612367,0.505098
0.612367,0.503740
0.612912,0.503050
0.612912,0.501692
0.613983,0.500334
0.613983,0.498286
0.615054,0.496928
0.615054,0.495570
0.615598,0.494880
0.615598,0.494190
0.616125,0.493522
0.616125,0.492142
0.617196,0.490784
0.617196,0.489426
0.618284,0.488068
0.618284,0.485330
0.619355,0.483972
0.619355,0.481924
0.620426,0.480566
0.620426,0.479208
0.620971,0.478518
0.620971,0.477160
0.622042,0.475803
0.622042,0.474422
0.623113,0.473064
0.623113,0.471016
0.624201,0.469659
0.624201,0.467611
0.625272,0.466253
0.625272,0.464205
0.625799,0.463515
0.625799,0.462157
0.626887,0.460799
0.626887,0.458751
0.627958,0.457393
0.627958,0.456035
0.628503,0.455345
0.628503,0.453987
0.629574,0.452607
0.629574,0.450581
0.630100,0.449891
0.630100,0.449201
0.631189,0.447843
0.631189,0.445795
0.631716,0.445127
0.631716,0.443747
0.632804,0.442389
0.632804,0.440341
0.633331,0.439673
0.633331,0.438293
0.634402,0.436935
0.634402,0.435577
0.634946,0.434887
0.634946,0.433529
0.636017,0.432171
0.636017,0.430123
0.636562,0.429433
0.636562,0.428075
0.637633,0.426717
0.637633,0.424669
0.638704,0.423312
0.638704,0.421264
0.639248,0.420573
0.639248,0.419216
0.639792,0.418525
0.639792,0.417168
0.640319,0.416477
0.640319,0.415120
0.641390,0.413762
0.641390,0.411714
0.641934,0.411024
0.641934,0.409666
0.643005,0.408308
0.643005,0.406260
0.643549,0.405592
0.643549,0.404212
0.644620,0.402854
0.644620,0.401496
0.645691,0.400138
0.645691,0.398758
0.646236,0.398090
0.646236,0.396710
0.646780,0.396042
0.646780,0.394684
0.647851,0.393304
0.647851,0.391946
0.648395,0.391256
0.648395,0.389898
0.648922,0.389230
0.648922,0.387850
0.649466,0.387182
0.649466,0.386492
0.649993,0.385802
0.649993,0.385134
0.650537,0.384444
0.650537,0.383086
0.651082,0.382396
0.651082,0.381038
0.651608,0.380370
0.651608,0.378990
0.652697,0.377632
0.652697,0.376274
0.653224,0.375584
0.653224,0.374226
0.653768,0.373536
0.653768,0.371488
0.654839,0.370130
0.654839,0.368082
0.655910,0.366725
0.655910,0.364677
0.656454,0.364009
