observation,x_start,y_start,x_end,y_end
1,0.000000,35.169809,78.231651,0.000000
2,0.000000,26.053150,54.014051,0.000000
3,0.000000,96.664908,64.830191,0.000000
4,0.000000,69.114993,66.124240,0.000000
5,0.000000,98.367166,12.448974,0.000000
6,0.000000,77.143095,90.000278,0.000000
7,0.000000,89.794785,60.203827,0.000000
8,0.000000,58.434923,66.871234,0.000000
9,0.000000,29.252173,78.095582,0.000000
10,0.000000,50.406820,33.470329,0.000000
11,0.000000,97.958957,26.464136,0.000000
12,0.000000,14.420594,53.605843,0.000000
13,0.000000,74.488351,79.456277,0.000000
14,0.000000,48.229708,77.823443,0.000000
15,0.000000,15.306434,86.462470,0.000000
16,0.000000,38.571548,50.137458,0.000000
17,0.000000,51.495376,70.000833,0.000000
18,0.000000,68.776207,82.108245,0.000000
19,0.000000,50.884452,47.688206,0.000000
20,0.000000,51.836939,67.415512,0.000000
21,0.000000,34.011830,95.987337,0.000000
22,0.000000,93.604732,94.557219,0.000000
23,0.000000,58.365499,36.530505,0.000000
24,0.000000,88.706229,27.619339,0.000000
25,0.000000,17.550193,54.558329,0.000000
26,0.000000,72.175169,19.796729,0.000000
27,0.000000,58.979201,13.198745,0.000000
28,0.000000,22.720835,67.959790,0.000000
29,0.000000,72.991586,32.926050,0.000000
30,0.000000,10.407931,70.611758,0.000000
31,0.000000,16.733776,84.899059,0.000000
32,0.000000,90.952764,62.722501,0.000000
33,0.000000,51.156591,33.470329,0.000000
34,0.000000,68.909500,73.402571,0.000000
35,0.000000,29.999167,51.020522,0.000000
36,0.000000,57.482436,75.238122,0.000000
37,0.000000,73.263725,10.407931,0.000000
38,0.000000,12.448974,69.592624,0.000000
39,0.000000,47.210575,61.836661,0.000000
40,0.000000,20.407653,69.114993,0.000000
41,0.000000,87.142817,69.251062,0.000000
42,0.000000,98.095027,50.476243,0.000000
43,0.000000,70.339618,98.028380,0.000000
44,0.000000,35.714087,80.136625,0.000000
45,0.000000,50.270751,72.108522,0.000000
46,0.000000,94.759934,81.291827,0.000000
47,0.000000,65.168976,90.816695,0.000000
48,0.000000,93.740801,82.449807,0.000000
49,0.000000,57.276943,55.510816,0.000000
50,0.000000,82.991308,71.089389,0.000000
