observation,x1,x2
1,60.203827,8.094749
2,33.334259,9.999722
3,19.999445,66.871234
4,30.000555,37.821777
5,0.000000,98.367166
6,47.824276,36.188942
7,19.999445,59.998334
8,44.080975,19.930021
9,51.428730,9.999722
10,10.135792,35.236456
11,6.053706,75.782400
12,53.605843,0.000000
13,40.001666,37.005359
14,61.700591,9.999722
15,86.462470,0.000000
16,30.000555,15.509150
17,42.789703,19.999445
18,46.327511,29.999167
19,22.518119,26.938991
20,41.429008,19.999445
21,67.755686,9.999722
22,47.007859,47.074505
23,9.999722,42.381495
24,8.028103,62.991864
25,30.000555,7.958679
26,6.053706,50.270751
27,0.000000,58.979201
28,67.959790,0.000000
29,9.999722,50.815029
30,70.611758,0.000000
31,84.899059,0.000000
32,19.999445,61.972731
33,9.999722,35.916803
34,40.001666,31.427897
35,34.014607,9.999722
36,50.001388,19.319097
37,0.000000,73.263725
38,69.592624,0.000000
39,40.137736,16.597706
40,69.114993,0.000000
41,32.312349,46.530227
42,9.999722,78.706506
43,70.203549,19.999445
44,62.178223,8.025326
45,40.001666,22.448696
46,35.986226,52.789425
47,56.327233,24.828525
48,37.210852,51.495376
49,27.347199,29.116103
50,30.000555,48.026992
